"words","freq"
"aaa",3
"aaron",2
"aarp",4
"abandoned",2
"abandoning",1
"abas",1
"abbas",2
"abbott",16
"abc",2
"abcs",1
"abdul",1
"abedin",1
"abele",6
"abide",2
"abilities",2
"ability",17
"abill",1
"abillion",1
"abject",1
"able",40
"ablebodied",3
"aboard",1
"abolish",6
"abolished",2
"abolishes",1
"abolishing",4
"abolition",1
"abort",2
"aborted",5
"abortion",99
"abortioneven",1
"abortionists",1
"abortions",44
"abraham",5
"abrahamlincoln",2
"abramoff",2
"abroad",1
"abruptly",1
"absence",1
"absent",1
"absentee",4
"absolute",1
"absolutely",15
"absorb",1
"absorbed",1
"abstinence",1
"absurd",1
"abu",1
"abuse",12
"abused",2
"abuser",1
"abusers",6
"abuses",1
"abusing",1
"abusive",1
"academic",6
"academies",2
"academy",4
"acalifornia",1
"accelerate",1
"accelerated",1
"acceleration",1
"accept",9
"acceptance",1
"accepted",18
"accepting",7
"acceptingforeign",1
"accepts",2
"access",36
"accessed",1
"accessible",2
"accident",2
"accidental",3
"accidentally",1
"accidents",14
"accommodate",4
"accommodating",1
"accommodation",1
"accomplished",1
"accomplishment",1
"accomplishments",2
"according",49
"account",21
"accountability",12
"accountable",1
"accountant",2
"accounted",3
"accounts",15
"accruals",1
"accrue",1
"accumulate",1
"accumulated",4
"accuracy",1
"accurate",2
"accused",12
"accuses",3
"accusing",1
"acela",1
"acentral",1
"achieved",3
"achievement",7
"achievements",1
"achieving",1
"acidic",2
"acknowledged",3
"acknowledges",1
"acknowledging",1
"aclu",4
"acorn",8
"acquire",3
"acquiring",1
"acquisition",1
"acre",1
"acres",7
"across",44
"acrosstheboard",2
"act",126
"actalters",1
"acted",4
"acting",5
"action",26
"actions",16
"activated",1
"activates",1
"active",8
"actively",5
"activist",2
"activists",3
"activities",1
"activity",13
"actor",1
"actors",2
"acts",4
"actthan",1
"actual",11
"actually",128
"actuaries",1
"acupuncture",1
"acute",1
"adam",6
"adams",3
"adan",1
"add",21
"added",42
"addicted",4
"addiction",4
"addictive",3
"adding",8
"addition",3
"additional",24
"address",19
"addressed",3
"addresses",2
"addressing",2
"adds",6
"adegbile",1
"adequately",1
"adjust",1
"adjusted",9
"adjusting",1
"adjustment",1
"adjustments",2
"adler",2
"adlers",1
"admin",1
"administer",1
"administered",2
"administration",155
"administrations",10
"administrative",4
"administrator",4
"administrators",2
"admiral",1
"admire",2
"admission",3
"admissions",2
"admit",5
"admits",9
"admitted",6
"adolescents",1
"adolf",1
"adopt",4
"adopted",11
"adopting",3
"adoption",2
"adoptions",3
"ads",10
"adult",5
"adulteryand",1
"adults",16
"adultthemed",1
"advance",3
"advanced",14
"advancement",1
"advances",1
"advancing",2
"advantage",13
"advantages",1
"advertise",1
"advertises",1
"advertising",5
"advice",2
"advised",2
"adviser",8
"advisers",9
"advising",1
"advisor",2
"advisors",2
"advisory",5
"advocacy",3
"advocate",3
"advocated",10
"advocates",2
"advocating",3
"aerial",1
"afc",1
"affairs",10
"affairshealth",1
"affect",10
"affected",5
"affecting",3
"affection",1
"affects",3
"affecttheir",1
"affiliated",2
"affiliates",1
"affiliation",1
"affirm",1
"affirmative",2
"affirmedso",1
"affluent",2
"afford",10
"affordability",3
"affordable",51
"afforded",1
"affords",1
"affront",1
"afghan",1
"afghanistan",33
"aflcio",4
"afloat",1
"afraid",4
"africa",19
"african",17
"africanamerican",32
"africanamericans",13
"afscme",2
"afterfive",1
"afterschool",1
"aftertax",1
"afterwards",1
"againhats",1
"agallup",1
"age",30
"aged",1
"agencies",24
"agency",21
"agencys",1
"agenda",18
"agendas",1
"agent",3
"agents",10
"ages",5
"aggie",1
"aggressive",4
"aggressively",2
"ago",86
"agoi",1
"agprivate",1
"agree",12
"agreed",11
"agreeing",1
"agreement",38
"agreements",4
"agrees",4
"agreethere",1
"agricultural",3
"agriculture",12
"agricultures",1
"ags",1
"ahead",6
"ahmadinejad",4
"aid",33
"aide",2
"aides",1
"aids",12
"aig",8
"aigs",1
"ailments",1
"aimed",3
"aiming",1
"aipac",1
"air",38
"airconditioned",1
"aircraft",7
"aired",1
"airline",2
"airplane",4
"airplanes",2
"airport",16
"airports",3
"airrail",1
"airs",1
"airstrikes",1
"airwaves",1
"airways",1
"aka",2
"akin",5
"ala",2
"alabama",2
"alabamas",1
"alabamians",1
"alameel",1
"alan",4
"alarming",1
"alaska",20
"alaskan",2
"alaskans",1
"alaskas",2
"alassad",1
"alawlakis",1
"albany",1
"alberta",3
"alcee",1
"alcohol",15
"alcoholics",1
"alcoholrelated",1
"alderman",1
"aleading",1
"alert",2
"alex",17
"alexi",1
"alexsink",1
"alfred",1
"algebra",2
"algeria",1
"ali",2
"alice",1
"alicia",1
"alien",2
"aliens",28
"aligned",2
"alison",3
"alito",1
"alive",2
"allah",2
"allan",4
"allay",1
"allegation",1
"allegations",3
"alleged",2
"allegedly",1
"allegiance",1
"allen",18
"allencast",1
"allens",3
"alleviating",1
"allfunds",1
"alliance",2
"allied",1
"allies",8
"alligator",2
"allocate",1
"allocation",1
"alloftheabove",1
"allow",53
"allowable",1
"allowance",1
"allowed",55
"allowing",24
"allows",18
"allpowerful",1
"alltime",11
"ally",3
"almanac",1
"almond",1
"almost",129
"alone",33
"alonewill",1
"along",17
"alongside",1
"alot",1
